"","trial_type","trial_num","number_targets","number_pairs","response_pairs"
"1","image-keyboard-response",1,"6.png","2.png","z"
"2","image-keyboard-response",2,"8_R.png","2_R.png","z"
"3","image-keyboard-response",3,"4.png","2.png","z"
"4","image-keyboard-response",4,"11_R.png","3_R.png","z"
"5","image-keyboard-response",5,"12.png","4.png","z"
"6","image-keyboard-response",6,"4_R.png","2_R.png","m"
"7","image-keyboard-response",7,"10.png","4.png","m"
"8","image-keyboard-response",8,"12_R.png","4_R.png","m"
"9","image-keyboard-response",9,"1.png","1.png","m"
"10","image-keyboard-response",10,"10_R.png","4_R.png","z"
"11","image-keyboard-response",11,"5_R.png","1_R.png","m"
"12","image-keyboard-response",12,"5.png","1.png","m"
"13","image-keyboard-response",13,"1_R.png","1_R.png","m"
"14","image-keyboard-response",14,"2_R.png","2_R.png","m"
"15","image-keyboard-response",15,"7_R.png","1_R.png","m"
"16","image-keyboard-response",16,"9.png","3.png","m"
"17","image-keyboard-response",17,"9_R.png","3_R.png","z"
"18","image-keyboard-response",18,"8.png","2.png","z"
"19","image-keyboard-response",19,"7.png","1.png","z"
"20","image-keyboard-response",20,"11.png","3.png","m"
"21","image-keyboard-response",21,"2.png","2.png","m"
"22","image-keyboard-response",22,"6_R.png","2_R.png","m"
"23","image-keyboard-response",23,"3_R.png","1_R.png","z"
"24","image-keyboard-response",24,"3.png","1.png","z"
