"","trial_type","trial_num","number_targets","number_pairs","response_pairs"
"1","image-keyboard-response",1,"12.png","4.png","z"
"2","image-keyboard-response",2,"10.png","4.png","m"
"3","image-keyboard-response",3,"1_R.png","1_R.png","z"
"4","image-keyboard-response",4,"12_R.png","4_R.png","m"
"5","image-keyboard-response",5,"10_R.png","4_R.png","z"
"6","image-keyboard-response",6,"6.png","2.png","m"
"7","image-keyboard-response",7,"4.png","2.png","z"
"8","image-keyboard-response",8,"1_R_confound.png","3_R.png","m"
"9","image-keyboard-response",9,"7_R.png","1_R.png","z"
"10","image-keyboard-response",10,"5_R.png","1_R.png","m"
"11","image-keyboard-response",11,"3_confound.png","3.png","m"
"12","image-keyboard-response",12,"2.png","2.png","m"
"13","image-keyboard-response",13,"4_confound.png","4.png","z"
"14","image-keyboard-response",14,"3_R_confound.png","3_R.png","z"
"15","image-keyboard-response",15,"2_R_confound.png","4_R.png","z"
"16","image-keyboard-response",16,"5.png","1.png","m"
"17","image-keyboard-response",17,"9.png","3.png","z"
"18","image-keyboard-response",18,"2_confound.png","4.png","m"
"19","image-keyboard-response",19,"3_R.png","1_R.png","m"
"20","image-keyboard-response",20,"3.png","1.png","z"
"21","image-keyboard-response",21,"8.png","2.png","z"
"22","image-keyboard-response",22,"8_R.png","2_R.png","m"
"23","image-keyboard-response",23,"11_R.png","3_R.png","z"
"24","image-keyboard-response",24,"1_confound.png","3.png","m"
"25","image-keyboard-response",25,"6_R.png","2_R.png","z"
"26","image-keyboard-response",26,"1.png","1.png","m"
"27","image-keyboard-response",27,"4_R.png","2_R.png","m"
"28","image-keyboard-response",28,"7.png","1.png","z"
"29","image-keyboard-response",29,"11.png","3.png","z"
"30","image-keyboard-response",30,"9_R.png","3_R.png","m"
"31","image-keyboard-response",31,"4_R_confound.png","4_R.png","m"
"32","image-keyboard-response",32,"2_R.png","2_R.png","z"
